+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
| r5n.xlarge          | 4    | x86_64     | 32.0     | None      |  0.306       | 7.34          | 223.55       |
| r6a.xlarge          | 4    | x86_64     | 32.0     | None      |  0.143       | 3.43          | 104.47       |
| r6g.xlarge          | 4    | arm64      | 32.0     | None      |  0.13        | 3.12          | 94.97        |
| r6gd.xlarge         | 4    | arm64      | 32.0     | 237       |  0.1495      | 3.59          | 109.22       |
| r6i.xlarge          | 4    | x86_64     | 32.0     | None      |  0.26        | 6.24          | 189.95       |
| r6id.xlarge         | 4    | x86_64     | 32.0     | 237       |  0.3172      | 7.61          | 231.73       |
| r6idn.xlarge        | 4    | x86_64     | 32.0     | 237       | N/A          | N/A           | N/A          |
| r6in.xlarge         | 4    | x86_64     | 32.0     | None      | N/A          | N/A           | N/A          |
| r7a.xlarge          | 4    | x86_64     | 32.0     | None      | N/A          | N/A           | N/A          |
| r7g.xlarge          | 4    | arm64      | 32.0     | None      |  0.1502      | 3.6           | 109.73       |
| r7gd.xlarge         | 4    | arm64      | 32.0     | 237       |  0.176       | 4.22          | 128.58       |
| r7i.xlarge          | 4    | x86_64     | 32.0     | None      |  0.273       | 6.55          | 199.44       |
| r7iz.xlarge         | 4    | x86_64     | 32.0     | None      | N/A          | N/A           | N/A          |
| r8g.xlarge          | 4    | arm64      | 32.0     | None      |  0.16516     | 3.96          | 120.66       |
| z1d.xlarge          | 4    | x86_64     | 32.0     | 150       |  0.392       | 9.41          | 286.38       |
| d3en.2xlarge        | 8    | x86_64     | 32.0     | 55920     | N/A          | N/A           | N/A          |
| g4ad.2xlarge        | 8    | x86_64     | 32.0     | 300       | N/A          | N/A           | N/A          |
| g4dn.2xlarge        | 8    | x86_64     | 32.0     | 225       |  0.828       | 19.87         | 604.9        |
| g5.2xlarge          | 8    | x86_64     | 32.0     | 450       |  1.45536     | 34.93         | 1063.23      |
| g6.2xlarge          | 8    | x86_64     | 32.0     | 450       |  1.1739      | 28.17         | 857.6        |
| h1.2xlarge          | 8    | x86_64     | 32.0     | 2000      | N/A          | N/A           | N/A          |
| im4gn.2xlarge       | 8    | arm64      | 32.0     | 3750      | N/A          | N/A           | N/A          |
| m4.2xlarge          | 8    | x86_64     | 32.0     | None      |  0.42        | 10.08         | 306.84       |
| m5.2xlarge          | 8    | x86_64     | 32.0     | None      |  0.404       | 9.7           | 295.15       |
| m5a.2xlarge         | 8    | x86_64     | 32.0     | None      |  0.222       | 5.33          | 162.18       |
| m5ad.2xlarge        | 8    | x86_64     | 32.0     | 300       |  0.268       | 6.43          | 195.79       |
| m5d.2xlarge         | 8    | x86_64     | 32.0     | 300       |  0.488       | 11.71         | 356.51       |
| m5dn.2xlarge        | 8    | x86_64     | 32.0     | 300       | N/A          | N/A           | N/A          |
| m5n.2xlarge         | 8    | x86_64     | 32.0     | None      | N/A          | N/A           | N/A          |
| m5zn.2xlarge        | 8    | x86_64     | 32.0     | None      | N/A          | N/A           | N/A          |
| m6a.2xlarge         | 8    | x86_64     | 32.0     | None      |  0.2222      | 5.33          | 162.33       |
| m6g.2xlarge         | 8    | arm64      | 32.0     | None      |  0.2024      | 4.86          | 147.87       |
| m6gd.2xlarge        | 8    | arm64      | 32.0     | 474       |  0.2416      | 5.8           | 176.5        |
| m6i.2xlarge         | 8    | x86_64     | 32.0     | None      |  0.404       | 9.7           | 295.15       |
| m6id.2xlarge        | 8    | x86_64     | 32.0     | 474       |  0.5124      | 12.3          | 374.34       |
| m6idn.2xlarge       | 8    | x86_64     | 32.0     | 474       |  0.6786      | 16.29         | 495.76       |
| m6in.2xlarge        | 8    | x86_64     | 32.0     | None      |  0.58032     | 13.93         | 423.96       |
| m7a.2xlarge         | 8    | x86_64     | 32.0     | None      | N/A          | N/A           | N/A          |
| m7g.2xlarge         | 8    | arm64      | 32.0     | None      |  0.2333      | 5.6           | 170.44       |
| m7gd.2xlarge        | 8    | arm64      | 32.0     | 474       |  0.284       | 6.82          | 207.48       |
| m7i-flex.2xlarge    | 8    | x86_64     | 32.0     | None      |  0.403       | 9.67          | 294.42       |
| m7i.2xlarge         | 8    | x86_64     | 32.0     | None      |  0.4242      | 10.18         | 309.9        |
| m8g.2xlarge         | 8    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| t2.2xlarge          | 8    | x86_64     | 32.0     | None      |  0.3968      | 9.52          | 289.89       |
| t3.2xlarge          | 8    | x86_64     | 32.0     | None      |  0.3584      | 8.6           | 261.83       |
| t3a.2xlarge         | 8    | x86_64     | 32.0     | None      |  0.1971      | 4.73          | 143.99       |
| t4g.2xlarge         | 8    | arm64      | 32.0     | None      |  0.1792      | 4.3           | 130.92       |
| trn1.2xlarge        | 8    | x86_64     | 32.0     | 474       | N/A          | N/A           | N/A          |
| mac1.metal          | 12   | x86_64_mac | 32.0     | None      | N/A          | N/A           | N/A          |
