+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
| i4g.xlarge          | 4    | arm64      | 32.0     | 937       | N/A          | N/A           | N/A          |
| i4i.xlarge          | 4    | x86_64     | 32.0     | 937       |  0.527       | 12.65         | 385.01       |
| i7ie.xlarge         | 4    | x86_64     | 32.0     | 2500      |  0.5198      | 12.48         | 379.75       |
| i8g.xlarge          | 4    | arm64      | 32.0     | 937       | N/A          | N/A           | N/A          |
| r5.xlarge           | 4    | x86_64     | 32.0     | None      |  0.436       | 10.46         | 318.52       |
| r5a.xlarge          | 4    | x86_64     | 32.0     | None      |  0.41        | 9.84          | 299.53       |
| r5ad.xlarge         | 4    | x86_64     | 32.0     | 150       |  0.446       | 10.7          | 325.83       |
| r5b.xlarge          | 4    | x86_64     | 32.0     | None      |  0.298       | 7.15          | 217.71       |
| r5d.xlarge          | 4    | x86_64     | 32.0     | 150       |  0.288       | 6.91          | 210.4        |
| r5dn.xlarge         | 4    | x86_64     | 32.0     | 150       |  0.518       | 12.43         | 378.43       |
| r5n.xlarge          | 4    | x86_64     | 32.0     | None      |  0.482       | 11.57         | 352.13       |
| r6a.xlarge          | 4    | x86_64     | 32.0     | None      |  0.2268      | 5.44          | 165.69       |
| r6g.xlarge          | 4    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| r6gd.xlarge         | 4    | arm64      | 32.0     | 237       | N/A          | N/A           | N/A          |
| r6i.xlarge          | 4    | x86_64     | 32.0     | None      |  0.436       | 10.46         | 318.52       |
| r6id.xlarge         | 4    | x86_64     | 32.0     | 237       |  0.3024      | 7.26          | 220.92       |
| r6idn.xlarge        | 4    | x86_64     | 32.0     | 237       |  0.39078     | 9.38          | 285.49       |
| r6in.xlarge         | 4    | x86_64     | 32.0     | None      |  0.34866     | 8.37          | 254.72       |
| r7a.xlarge          | 4    | x86_64     | 32.0     | None      |  0.3043      | 7.3           | 222.31       |
| r7g.xlarge          | 4    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| r7gd.xlarge         | 4    | arm64      | 32.0     | 237       | N/A          | N/A           | N/A          |
| r7i.xlarge          | 4    | x86_64     | 32.0     | None      |  0.4486      | 10.77         | 327.73       |
| r7iz.xlarge         | 4    | x86_64     | 32.0     | None      |  0.372       | 8.93          | 271.77       |
| r8g.xlarge          | 4    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| z1d.xlarge          | 4    | x86_64     | 32.0     | 150       |  0.372       | 8.93          | 271.77       |
| d3en.2xlarge        | 8    | x86_64     | 32.0     | 55920     |  1.419       | 34.06         | 1036.66      |
| g4ad.2xlarge        | 8    | x86_64     | 32.0     | 300       |  0.90917     | 21.82         | 664.2        |
| g4dn.2xlarge        | 8    | x86_64     | 32.0     | 225       |  1.12        | 26.88         | 818.23       |
| g5.2xlarge          | 8    | x86_64     | 32.0     | 450       |  1.58        | 37.92         | 1154.28      |
| g6.2xlarge          | 8    | x86_64     | 32.0     | 450       |  0.9776      | 23.46         | 714.2        |
| h1.2xlarge          | 8    | x86_64     | 32.0     | 2000      |  0.468       | 11.23         | 341.9        |
| im4gn.2xlarge       | 8    | arm64      | 32.0     | 3750      | N/A          | N/A           | N/A          |
| m4.2xlarge          | 8    | x86_64     | 32.0     | None      |  0.4         | 9.6           | 292.22       |
| m5.2xlarge          | 8    | x86_64     | 32.0     | None      |  0.752       | 18.05         | 549.38       |
| m5a.2xlarge         | 8    | x86_64     | 32.0     | None      |  0.344       | 8.26          | 251.31       |
| m5ad.2xlarge        | 8    | x86_64     | 32.0     | 300       |  0.78        | 18.72         | 569.84       |
| m5d.2xlarge         | 8    | x86_64     | 32.0     | 300       |  0.82        | 19.68         | 599.06       |
| m5dn.2xlarge        | 8    | x86_64     | 32.0     | 300       |  0.912       | 21.89         | 666.27       |
| m5n.2xlarge         | 8    | x86_64     | 32.0     | None      |  0.844       | 20.26         | 616.59       |
| m5zn.2xlarge        | 8    | x86_64     | 32.0     | None      |  1.0287      | 24.69         | 751.53       |
| m6a.2xlarge         | 8    | x86_64     | 32.0     | None      |  0.7136      | 17.13         | 521.33       |
| m6g.2xlarge         | 8    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| m6gd.2xlarge        | 8    | arm64      | 32.0     | 474       | N/A          | N/A           | N/A          |
| m6i.2xlarge         | 8    | x86_64     | 32.0     | None      |  0.384       | 9.22          | 280.54       |
| m6id.2xlarge        | 8    | x86_64     | 32.0     | 474       |  0.8426      | 20.22         | 615.57       |
| m6idn.2xlarge       | 8    | x86_64     | 32.0     | 474       |  0.63648     | 15.28         | 464.99       |
| m6in.2xlarge        | 8    | x86_64     | 32.0     | None      |  0.55692     | 13.37         | 406.86       |
| m7a.2xlarge         | 8    | x86_64     | 32.0     | None      |  0.46368     | 11.13         | 338.75       |
| m7g.2xlarge         | 8    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| m7gd.2xlarge        | 8    | arm64      | 32.0     | 474       | N/A          | N/A           | N/A          |
| m7i-flex.2xlarge    | 8    | x86_64     | 32.0     | None      |  0.38304     | 9.19          | 279.83       |
| m7i.2xlarge         | 8    | x86_64     | 32.0     | None      |  0.7712      | 18.51         | 563.41       |
| m8g.2xlarge         | 8    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| t2.2xlarge          | 8    | x86_64     | 32.0     | None      |  0.4332      | 10.4          | 316.48       |
| t3.2xlarge          | 8    | x86_64     | 32.0     | None      |  0.48        | 11.52         | 350.67       |
| t3a.2xlarge         | 8    | x86_64     | 32.0     | None      |  0.3008      | 7.22          | 219.75       |
| t4g.2xlarge         | 8    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| trn1.2xlarge        | 8    | x86_64     | 32.0     | 474       | N/A          | N/A           | N/A          |
| mac1.metal          | 12   | x86_64_mac | 32.0     | None      | N/A          | N/A           | N/A          |
| mac2-m2pro.metal    | 12   | arm64_mac  | 32.0     | None      | N/A          | N/A           | N/A          |
