+-------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type     | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
| m6gd.xlarge       | 4    | arm64      | 16.0     | 237       | N/A          | N/A           | N/A          |
| m6i.xlarge        | 4    | x86_64     | 16.0     | None      |  0.24        | 5.76          | 175.33       |
| m6id.xlarge       | 4    | x86_64     | 16.0     | 237       |  0.2961      | 7.11          | 216.32       |
| m6idn.xlarge      | 4    | x86_64     | 16.0     | 237       |  0.57478     | 13.79         | 419.91       |
| m6in.xlarge       | 4    | x86_64     | 16.0     | None      |  0.34164     | 8.2           | 249.59       |
| m7g.xlarge        | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| m7gd.xlarge       | 4    | arm64      | 16.0     | 237       | N/A          | N/A           | N/A          |
| m7i-flex.xlarge   | 4    | x86_64     | 16.0     | None      |  0.4142      | 9.94          | 302.6        |
| m7i.xlarge        | 4    | x86_64     | 16.0     | None      |  0.252       | 6.05          | 184.1        |
| t2.xlarge         | 4    | x86_64     | 16.0     | None      |  0.2336      | 5.61          | 170.66       |
| t3.xlarge         | 4    | x86_64     | 16.0     | None      |  0.2112      | 5.07          | 154.29       |
| t3a.xlarge        | 4    | x86_64     | 16.0     | None      |  0.2624      | 6.3           | 191.7        |
| t4g.xlarge        | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| a1.2xlarge        | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c5.2xlarge        | 8    | x86_64     | 16.0     | None      |  0.76        | 18.24         | 555.23       |
| c5a.2xlarge       | 8    | x86_64     | 16.0     | None      |  0.72        | 17.28         | 526          |
| c5ad.2xlarge      | 8    | x86_64     | 16.0     | 300       |  0.772       | 18.53         | 563.99       |
| c5d.2xlarge       | 8    | x86_64     | 16.0     | 200       |  0.816       | 19.58         | 596.14       |
| c6a.2xlarge       | 8    | x86_64     | 16.0     | None      |  0.7208      | 17.3          | 526.59       |
| c6g.2xlarge       | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c6gd.2xlarge      | 8    | arm64      | 16.0     | 474       | N/A          | N/A           | N/A          |
| c6gn.2xlarge      | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c6i.2xlarge       | 8    | x86_64     | 16.0     | None      |  0.76        | 18.24         | 555.23       |
| c6id.2xlarge      | 8    | x86_64     | 16.0     | 474       |  0.4704      | 11.29         | 343.66       |
| c6in.2xlarge      | 8    | x86_64     | 16.0     | None      |  0.8888      | 21.33         | 649.32       |
| c7g.2xlarge       | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c7gd.2xlarge      | 8    | arm64      | 16.0     | 474       | N/A          | N/A           | N/A          |
| c7i-flex.2xlarge  | 8    | x86_64     | 16.0     | None      |  0.3911      | 9.39          | 285.72       |
| c7i.2xlarge       | 8    | x86_64     | 16.0     | None      |  0.4116      | 9.88          | 300.7        |
| g5g.2xlarge       | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| inf1.2xlarge      | 8    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| mac2.metal        | 8    | arm64_mac  | 16.0     | None      | N/A          | N/A           | N/A          |
| m2.xlarge         | 2    | x86_64     | 17.1     | 420       |  0.296       | 7.1           | 216.25       |
| c5n.2xlarge       | 8    | x86_64     | 21.0     | None      |  0.864       | 20.74         | 631.2        |
| is4gen.xlarge     | 4    | arm64      | 24.0     | 3750      | N/A          | N/A           | N/A          |
| m3.2xlarge        | 8    | x86_64     | 30.0     | 160       |  0.784       | 18.82         | 572.76       |
| c3.4xlarge        | 16   | x86_64     | 30.0     | 320       |  1.906       | 45.74         | 1392.45      |
| c4.4xlarge        | 16   | x86_64     | 30.0     | None      |  1.66        | 39.84         | 1212.73      |
