+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
| m7a.xlarge          | 4    | x86_64     | 16.0     | None      |  0.48346     | 11.6          | 353.2        |
| m7g.xlarge          | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| m7gd.xlarge         | 4    | arm64      | 16.0     | 237       | N/A          | N/A           | N/A          |
| m7i-flex.xlarge     | 4    | x86_64     | 16.0     | None      |  0.24738     | 5.94          | 180.73       |
| m7i.xlarge          | 4    | x86_64     | 16.0     | None      |  0.4444      | 10.67         | 324.66       |
| m8g.xlarge          | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| t2.xlarge           | 4    | x86_64     | 16.0     | None      |  0.2842      | 6.82          | 207.63       |
| t3.xlarge           | 4    | x86_64     | 16.0     | None      |  0.2912      | 6.99          | 212.74       |
| t3a.xlarge          | 4    | x86_64     | 16.0     | None      |  0.2694      | 6.47          | 196.81       |
| t4g.xlarge          | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| a1.2xlarge          | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c5.2xlarge          | 8    | x86_64     | 16.0     | None      |  0.796       | 19.1          | 581.53       |
| c5a.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.752       | 18.05         | 549.38       |
| c5ad.2xlarge        | 8    | x86_64     | 16.0     | 300       | N/A          | N/A           | N/A          |
| c5d.2xlarge         | 8    | x86_64     | 16.0     | 200       |  0.856       | 20.54         | 625.36       |
| c6a.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.3852      | 9.24          | 281.41       |
| c6g.2xlarge         | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c6gd.2xlarge        | 8    | arm64      | 16.0     | 474       | N/A          | N/A           | N/A          |
| c6gn.2xlarge        | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c6i.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.796       | 19.1          | 581.53       |
| c6id.2xlarge        | 8    | x86_64     | 16.0     | 474       |  0.8804      | 21.13         | 643.19       |
| c6in.2xlarge        | 8    | x86_64     | 16.0     | None      |  0.5712      | 13.71         | 417.3        |
| c7a.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.5168      | 12.4          | 377.55       |
| c7g.2xlarge         | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c7gd.2xlarge        | 8    | arm64      | 16.0     | 474       | N/A          | N/A           | N/A          |
| c7gn.2xlarge        | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c7i-flex.2xlarge    | 8    | x86_64     | 16.0     | None      |  0.77653     | 18.64         | 567.3        |
| c7i.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.8174      | 19.62         | 597.16       |
| c8g.2xlarge         | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| g5g.2xlarge         | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| inf1.2xlarge        | 8    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| mac2.metal          | 8    | arm64_mac  | 16.0     | None      | N/A          | N/A           | N/A          |
| m2.xlarge           | 2    | x86_64     | 17.1     | 420       |  0.287       | 6.89          | 209.67       |
| c5n.2xlarge         | 8    | x86_64     | 21.0     | None      |  0.912       | 21.89         | 666.27       |
| is4gen.xlarge       | 4    | arm64      | 24.0     | 3750      | N/A          | N/A           | N/A          |
| mac2-m2.metal       | 8    | arm64_mac  | 24.0     | None      | N/A          | N/A           | N/A          |
| vt1.3xlarge         | 12   | x86_64     | 24.0     | None      | N/A          | N/A           | N/A          |
| m3.2xlarge          | 8    | x86_64     | 30.0     | 160       |  0.77        | 18.48         | 562.53       |
| c3.4xlarge          | 16   | x86_64     | 30.0     | 320       |  1.849       | 44.38         | 1350.81      |
